Onsite_Energy,Chemical_Potential
-10.0,0.09483283316743041
-9.795918367346939,0.047871867137075697
-9.591836734693878,-0.0032178175681565335
-9.387755102040817,-0.047374182131846965
-9.183673469387756,-0.08195580799824143
-8.979591836734693,-0.10966312112803678
-8.775510204081632,-0.11293607264779837
-8.571428571428573,-0.08014532028779797
-8.36734693877551,-0.001198966927205447
-8.16326530612245,-3.1693045877542545
-7.959183673469388,-2.965222955101254
-7.755102040816326,-2.7611413224481254
-7.551020408163264,-2.5570596897952527
-7.346938775510203,-2.3529780571418115
-7.142857142857143,-2.148896424488953
-6.938775510204081,-1.944814791835796
-6.734693877551021,-1.740733159182497
-6.530612244897959,-1.536651526529539
-6.326530612244898,-1.332569893876574
-6.122448979591837,-1.1284882612234028
-5.918367346938775,-0.9244066285704946
-5.7142857142857135,-0.7203249959172879
-5.5102040816326525,-0.5162433632643797
-5.3061224489795915,-0.3121617306110238
-5.1020408163265305,-0.10808009795810847
-4.8979591836734695,0.09600153469490635
-4.693877551020408,0.300083167347843
-4.4897959183673475,0.5041648000010355
-4.2857142857142865,0.7082464326541356
-4.081632653061225,0.912328065307193
-3.877551020408163,1.1164096979602007
-3.6734693877551017,1.3204913306132795
-3.4693877551020416,1.5245729632662233
-3.2653061224489797,1.7286545959195152
-3.0612244897959187,1.9327362285723986
-2.8571428571428568,2.136817861225488
-2.6530612244897958,2.340899493878606
-2.448979591836735,2.5449811265315603
-2.2448979591836737,2.7490627591847527
-2.0408163265306123,2.9531443918378386
-1.8367346938775508,3.1572260244908392
-1.6326530612244894,3.3613076571439375
-1.428571428571429,0.07890027145481682
-1.2244897959183676,-0.09101137310876695
-1.0204081632653061,-0.11674256372085523
-0.8163265306122447,0.0873390689321969
-0.6122448979591832,0.049857551979757275
-0.4081632653061229,0.004556685856130116
-0.20408163265306145,-0.047347927803163437
0.0,-0.09444145305869434
