mu,x,ChargeGap
0.031055974960327148,0.5,1.314887523651123
0.02095487117767334,0.4898989898989899,1.31488037109375
0.010853290557861328,0.4797979797979798,1.3148884773254395
0.0007529258728027344,0.4696969696969697,1.3148868083953857
-0.009348201751708984,0.4595959595959596,1.3148841857910156
-0.019449329376220702,0.4494949494949495,1.3148856163024902
-0.029550504684448243,0.4393939393939394,1.3148856163024902
-0.03965158462524414,0.4292929292929293,1.3148870468139648
-0.049752664566040036,0.41919191919191917,1.3148908615112305
-0.05985260009765625,0.40909090909090906,1.314887523651123
-0.069954252243042,0.398989898989899,1.3148860931396484
-0.08005499839782715,0.3888888888888889,1.314885139465332
0.039249515533447264,0.3787878787878788,2.344715118408203
0.02914900779724121,0.3686868686868687,2.3447275161743164
0.019048118591308595,0.35858585858585856,2.344722270965576
0.008947181701660156,0.3484848484848485,2.344712257385254
-0.0011535167694091796,0.33838383838383834,2.3447213172912598
-0.01125340461730957,0.3282828282828283,2.344726085662842
-0.02135472297668457,0.3181818181818182,2.3447179794311523
-0.031456375122070314,0.30808080808080807,2.3447179794311523
-0.041557598114013675,0.29797979797979796,2.344724655151367
0.28787975311279296,0.2878787878787879,3.3953781127929688
0.27777738571166993,0.2777777777777778,3.395376205444336
0.26767730712890625,0.2676767676767677,3.395383834838867
0.25757594108581544,0.25757575757575757,3.3953728675842285
0.24747605323791505,0.24747474747474746,3.3953723907470703
0.2373737335205078,0.23737373737373735,3.395371437072754
0.22727365493774415,0.2272727272727273,3.3953771591186523
0.21717052459716796,0.21717171717171718,3.395380973815918
0.20707015991210936,0.20707070707070707,3.3953866958618164
0.19696903228759766,0.19696969696969696,3.3953723907470703
0.1868671417236328,0.18686868686868685,3.3953752517700195
0.17676811218261718,0.17676767676767674,3.3953781127929688
0.16666793823242188,0.16666666666666669,3.3953847885131836
0.15656633377075196,0.15656565656565657,3.395371437072754
0.14646549224853517,0.14646464646464646,3.3953676223754883
0.1363616943359375,0.13636363636363635,3.395369529724121
0.12626304626464843,0.12626262626262624,3.395392417907715
0.1161611557006836,0.11616161616161619,3.395379066467285
0.10606174468994141,0.10606060606060608,3.395359992980957
0.0959589958190918,0.09595959595959591,3.3953781127929688
0.08585977554321289,0.0858585858585858,3.3953752517700195
0.07575740814208984,0.0757575757575758,3.3953819274902344
0.06565742492675782,0.06565656565656564,3.3953704833984375
0.05555562973022461,0.055555555555555525,3.3953752517700195
0.04545516967773437,0.045454545454545525,3.395374298095703
0.0353546142578125,0.03535353535353536,3.395383834838867
0.025252437591552733,0.02525252525252525,3.395353317260742
0.015151214599609376,0.015151515151515138,3.395369529724121
0.0050506591796875,0.0050505050505050275,3.395376205444336
-0.005051231384277344,-0.005050505050505083,3.3953800201416016
-0.01515045166015625,-0.015151515151515138,3.3953685760498047
-0.025252723693847658,-0.025252525252525304,3.3953990936279297
-0.035352897644042966,-0.03535353535353536,3.3953723907470703
-0.04545650482177734,-0.045454545454545414,3.3953752517700195
-0.05555572509765625,-0.05555555555555558,3.3953895568847656
-0.06565647125244141,-0.06565656565656564,3.3953628540039062
-0.07575740814208984,-0.0757575757575758,3.3953723907470703
-0.08586101531982422,-0.08585858585858586,3.3953704833984375
-0.09595909118652343,-0.09595959595959591,3.395387649536133
-0.10606098175048828,-0.10606060606060608,3.3953723907470703
-0.11616706848144531,-0.11616161616161613,3.3953933715820312
-0.12626419067382813,-0.1262626262626263,3.3953685760498047
-0.13636512756347657,-0.13636363636363635,3.395364761352539
-0.14646434783935547,-0.14646464646464652,3.3953781127929688
-0.15656471252441406,-0.15656565656565657,3.3953723907470703
-0.16666679382324218,-0.16666666666666663,3.3953685760498047
-0.17677001953125,-0.1767676767676768,3.3953628540039062
-0.18686752319335936,-0.18686868686868685,3.3953685760498047
-0.19697093963623047,-0.19696969696969702,3.395374298095703
-0.2070718765258789,-0.20707070707070707,3.3953857421875
-0.21717166900634766,-0.21717171717171713,3.395364761352539
-0.22727317810058595,-0.2272727272727273,3.3953895568847656
-0.23737506866455077,-0.23737373737373735,3.3953781127929688
-0.24747371673583984,-0.24747474747474751,3.395355224609375
-0.25757637023925783,-0.25757575757575757,3.395376205444336
-0.26767635345458984,-0.2676767676767676,3.395376205444336
-0.27777862548828125,-0.2777777777777778,3.395374298095703
-0.28787937164306643,-0.28787878787878785,3.3953857421875
0.041557693481445314,-0.297979797979798,2.344724655151367
0.03145732879638672,-0.3080808080808082,2.3447341918945312
0.021355247497558592,-0.3181818181818181,2.3447608947753906
0.011255455017089844,-0.3282828282828284,2.3447036743164062
0.001155853271484375,-0.33838383838383845,2.3447494506835938
-0.008948326110839844,-0.3484848484848484,2.344684600830078
-0.019049072265625,-0.35858585858585845,2.3447265625
-0.02914886474609375,-0.36868686868686873,2.3447036743164062
-0.03925380706787109,-0.3787878787878787,2.3447093963623047
0.08005523681640625,-0.38888888888888895,1.3148784637451172
0.06995468139648438,-0.398989898989899,1.3148956298828125
0.05985279083251953,-0.40909090909090895,1.314859390258789
0.04975471496582031,-0.4191919191919192,1.3148880004882812
0.039647483825683595,-0.4292929292929293,1.3148765563964844
0.029551124572753905,-0.43939393939393945,1.3148975372314453
0.019449615478515626,-0.4494949494949495,1.3148784637451172
0.009344863891601562,-0.45959595959595956,1.3148841857910156
-0.0007526397705078125,-0.4696969696969697,1.3148994445800781
-0.010854721069335938,-0.4797979797979798,1.3148841857910156
-0.0209564208984375,-0.48989898989898994,1.3148956298828125
-0.03105583190917969,-0.5,1.3148956298828125
